Worker ID,Link to Individual Worker Page,Number of HITs approved or rejected - Lifetime,Number of HITs approved - Lifetime,Your Lifetime approval rate,Number of HITs approved or rejected - Last 30 days,Number of HITs approved - Last 30 days,Your Last 30 days approval rate,Number of HITs approved or rejected - Last 7 days,Number of HITs approved - Last 7 days,Your Last 7 days approval rate,CURRENT BlockStatus,UPDATE BlockStatus,BlockReason,UPDATE-Completed My Experiment Already
A101IR0LIN81SL,https://requester.mturk.com/workers/A101IR0LIN81SL,1,1,100.00%,1,1,100.00%,0,0,0.00%,Never Blocked,,,1
A129DU6FOHUVNO,https://requester.mturk.com/workers/A129DU6FOHUVNO,1,1,100.00%,1,1,100.00%,0,0,0.00%,Never Blocked,,,1
A17LF7GCAFYMSL,https://requester.mturk.com/workers/A17LF7GCAFYMSL,1,1,100.00%,1,1,100.00%,0,0,0.00%,Never Blocked,,,1
A17QHU5Q0FS3GW,https://requester.mturk.com/workers/A17QHU5Q0FS3GW,1,1,100.00%,0,0,0.00%,0,0,0.00%,Never Blocked,,,1
A188LZ1A7V4FQY,https://requester.mturk.com/workers/A188LZ1A7V4FQY,1,1,100.00%,1,1,100.00%,0,0,0.00%,Never Blocked,,,1
A192KNMRT3IT3S,https://requester.mturk.com/workers/A192KNMRT3IT3S,1,0,0.00%,1,0,0.00%,0,0,0.00%,Never Blocked,,,1
A19H44LQJ0TEXF,https://requester.mturk.com/workers/A19H44LQJ0TEXF,1,1,100.00%,1,1,100.00%,0,0,0.00%,Never Blocked,,,1
A1A73A5Z4SDW06,https://requester.mturk.com/workers/A1A73A5Z4SDW06,1,1,100.00%,1,1,100.00%,0,0,0.00%,Never Blocked,,,1
A1DXFMUVK5015A,https://requester.mturk.com/workers/A1DXFMUVK5015A,1,1,100.00%,1,1,100.00%,0,0,0.00%,Never Blocked,,,1
A1E0GZGYVQAGB1,https://requester.mturk.com/workers/A1E0GZGYVQAGB1,1,1,100.00%,0,0,0.00%,0,0,0.00%,Never Blocked,,,1
A1EK8YNHZHTW1J,https://requester.mturk.com/workers/A1EK8YNHZHTW1J,1,1,100.00%,1,1,100.00%,0,0,0.00%,Never Blocked,,,1
A1EKVUFWL7OJMO,https://requester.mturk.com/workers/A1EKVUFWL7OJMO,1,1,100.00%,1,1,100.00%,0,0,0.00%,Never Blocked,,,1
A1EPE2IRWQ9XO2,https://requester.mturk.com/workers/A1EPE2IRWQ9XO2,1,1,100.00%,1,1,100.00%,0,0,0.00%,Never Blocked,,,1
A1JB0P5R3HWM4A,https://requester.mturk.com/workers/A1JB0P5R3HWM4A,1,1,100.00%,1,1,100.00%,0,0,0.00%,Never Blocked,,,1
A1KPREUKTH36KN,https://requester.mturk.com/workers/A1KPREUKTH36KN,1,1,100.00%,1,1,100.00%,0,0,0.00%,Never Blocked,,,1
A1L3937MY09J3I,https://requester.mturk.com/workers/A1L3937MY09J3I,1,1,100.00%,0,0,0.00%,0,0,0.00%,Never Blocked,,,1
A1QUQ0TV9KVD4C,https://requester.mturk.com/workers/A1QUQ0TV9KVD4C,1,1,100.00%,1,1,100.00%,0,0,0.00%,Never Blocked,,,1
A1REVWXDXCOADJ,https://requester.mturk.com/workers/A1REVWXDXCOADJ,1,1,100.00%,1,1,100.00%,0,0,0.00%,Never Blocked,,,1
A1U1PWOUK690TU,https://requester.mturk.com/workers/A1U1PWOUK690TU,1,1,100.00%,1,1,100.00%,0,0,0.00%,Never Blocked,,,1
A1Z6F6EIUJFC6T,https://requester.mturk.com/workers/A1Z6F6EIUJFC6T,1,1,100.00%,1,1,100.00%,0,0,0.00%,Never Blocked,,,1
A1ZWDUFNFILYJJ,https://requester.mturk.com/workers/A1ZWDUFNFILYJJ,1,1,100.00%,1,1,100.00%,0,0,0.00%,Never Blocked,,,1
A1ZZINLCZZYOH4,https://requester.mturk.com/workers/A1ZZINLCZZYOH4,1,1,100.00%,1,1,100.00%,0,0,0.00%,Never Blocked,,,1
A20TMWKPQ3GSDP,https://requester.mturk.com/workers/A20TMWKPQ3GSDP,1,0,0.00%,1,0,0.00%,0,0,0.00%,Never Blocked,,,1
A21ENG0H0098V2,https://requester.mturk.com/workers/A21ENG0H0098V2,1,1,100.00%,1,1,100.00%,0,0,0.00%,Never Blocked,,,1
A25OSUXL5HQ85C,https://requester.mturk.com/workers/A25OSUXL5HQ85C,1,1,100.00%,0,0,0.00%,0,0,0.00%,Never Blocked,,,1
A26MN6JIKD4NXU,https://requester.mturk.com/workers/A26MN6JIKD4NXU,1,1,100.00%,1,1,100.00%,0,0,0.00%,Never Blocked,,,1
A2AHXGFXPG6ZSR,https://requester.mturk.com/workers/A2AHXGFXPG6ZSR,1,1,100.00%,1,1,100.00%,0,0,0.00%,Never Blocked,,,1
A2BZB5DH7Y9JVG,https://requester.mturk.com/workers/A2BZB5DH7Y9JVG,1,1,100.00%,0,0,0.00%,0,0,0.00%,Never Blocked,,,1
A2C59WG3U48S6O,https://requester.mturk.com/workers/A2C59WG3U48S6O,1,1,100.00%,1,1,100.00%,0,0,0.00%,Never Blocked,,,1
A2CJ3NVMPNFXI1,https://requester.mturk.com/workers/A2CJ3NVMPNFXI1,1,1,100.00%,1,1,100.00%,0,0,0.00%,Never Blocked,,,1
A2GQGYKPLKQGSZ,https://requester.mturk.com/workers/A2GQGYKPLKQGSZ,1,1,100.00%,1,1,100.00%,0,0,0.00%,Never Blocked,,,1
A2HA7R3TR3TR1A,https://requester.mturk.com/workers/A2HA7R3TR3TR1A,1,1,100.00%,1,1,100.00%,0,0,0.00%,Never Blocked,,,1
A2IG18D6M0GNUZ,https://requester.mturk.com/workers/A2IG18D6M0GNUZ,1,1,100.00%,1,1,100.00%,0,0,0.00%,Never Blocked,,,1
A2JZFLBUB0ODKJ,https://requester.mturk.com/workers/A2JZFLBUB0ODKJ,1,1,100.00%,1,1,100.00%,0,0,0.00%,Never Blocked,,,1
A2UVJMJV1EOH9X,https://requester.mturk.com/workers/A2UVJMJV1EOH9X,1,1,100.00%,1,1,100.00%,0,0,0.00%,Never Blocked,,,1
A2YGOORS5N9RW8,https://requester.mturk.com/workers/A2YGOORS5N9RW8,1,1,100.00%,1,1,100.00%,0,0,0.00%,Never Blocked,,,1
A2ZFTBJPSQX1GB,https://requester.mturk.com/workers/A2ZFTBJPSQX1GB,1,1,100.00%,1,1,100.00%,0,0,0.00%,Never Blocked,,,1
A30KYQGABO7JER,https://requester.mturk.com/workers/A30KYQGABO7JER,1,1,100.00%,1,1,100.00%,0,0,0.00%,Never Blocked,,,1
A32Y9JC775LYLV,https://requester.mturk.com/workers/A32Y9JC775LYLV,1,1,100.00%,1,1,100.00%,0,0,0.00%,Never Blocked,,,1
A34FEDYGGZ4BN8,https://requester.mturk.com/workers/A34FEDYGGZ4BN8,1,1,100.00%,1,1,100.00%,0,0,0.00%,Never Blocked,,,1
A382SL9ROIY1P6,https://requester.mturk.com/workers/A382SL9ROIY1P6,1,1,100.00%,1,1,100.00%,0,0,0.00%,Never Blocked,,,1
A39RDFL447IDSP,https://requester.mturk.com/workers/A39RDFL447IDSP,1,1,100.00%,1,1,100.00%,0,0,0.00%,Never Blocked,,,1
A3AJM8TBH0D9C2,https://requester.mturk.com/workers/A3AJM8TBH0D9C2,1,1,100.00%,1,1,100.00%,0,0,0.00%,Never Blocked,,,1
A3C5G8LGIAW0XL,https://requester.mturk.com/workers/A3C5G8LGIAW0XL,1,1,100.00%,0,0,0.00%,0,0,0.00%,Never Blocked,,,1
A3CH1Z6J9R38G9,https://requester.mturk.com/workers/A3CH1Z6J9R38G9,1,1,100.00%,1,1,100.00%,0,0,0.00%,Never Blocked,,,1
A3D2GO0IFRFN6R,https://requester.mturk.com/workers/A3D2GO0IFRFN6R,1,1,100.00%,1,1,100.00%,0,0,0.00%,Never Blocked,,,1
A3G991Y0PG5BIC,https://requester.mturk.com/workers/A3G991Y0PG5BIC,1,1,100.00%,1,1,100.00%,0,0,0.00%,Never Blocked,,,1
A3GPTSDDHJ2DBV,https://requester.mturk.com/workers/A3GPTSDDHJ2DBV,1,1,100.00%,0,0,0.00%,0,0,0.00%,Never Blocked,,,1
A3HWIDZ2MRAKTX,https://requester.mturk.com/workers/A3HWIDZ2MRAKTX,1,1,100.00%,1,1,100.00%,0,0,0.00%,Never Blocked,,,1
A3KSAP865D3L7D,https://requester.mturk.com/workers/A3KSAP865D3L7D,1,1,100.00%,1,1,100.00%,0,0,0.00%,Never Blocked,,,1
A3LRSX7ECYPSF4,https://requester.mturk.com/workers/A3LRSX7ECYPSF4,1,1,100.00%,0,0,0.00%,0,0,0.00%,Never Blocked,,,1
A3LSKI2XM8MPEB,https://requester.mturk.com/workers/A3LSKI2XM8MPEB,1,1,100.00%,1,1,100.00%,0,0,0.00%,Never Blocked,,,1
A3LYQ5490FJYXK,https://requester.mturk.com/workers/A3LYQ5490FJYXK,1,1,100.00%,0,0,0.00%,0,0,0.00%,Never Blocked,,,1
A3VZA2YUYAOE0K,https://requester.mturk.com/workers/A3VZA2YUYAOE0K,1,1,100.00%,1,1,100.00%,0,0,0.00%,Never Blocked,,,1
A4TQSZDPARE7I,https://requester.mturk.com/workers/A4TQSZDPARE7I,1,1,100.00%,1,1,100.00%,0,0,0.00%,Never Blocked,,,1
A7GUBXCBHLX,https://requester.mturk.com/workers/A7GUBXCBHLX,1,1,100.00%,1,1,100.00%,0,0,0.00%,Never Blocked,,,1
A8F6JFG0WSELT,https://requester.mturk.com/workers/A8F6JFG0WSELT,1,1,100.00%,1,1,100.00%,0,0,0.00%,Never Blocked,,,1
A8NFLCEXUSFDM,https://requester.mturk.com/workers/A8NFLCEXUSFDM,1,1,100.00%,1,1,100.00%,0,0,0.00%,Never Blocked,,,1
ACI8PUCF5OPDC,https://requester.mturk.com/workers/ACI8PUCF5OPDC,1,1,100.00%,1,1,100.00%,0,0,0.00%,Never Blocked,,,1
AHLS6AZ1VTNH7,https://requester.mturk.com/workers/AHLS6AZ1VTNH7,1,1,100.00%,1,1,100.00%,0,0,0.00%,Never Blocked,,,1
AJM4334V07JDQ,https://requester.mturk.com/workers/AJM4334V07JDQ,1,1,100.00%,1,1,100.00%,0,0,0.00%,Never Blocked,,,1
AMFN57BJVYPPE,https://requester.mturk.com/workers/AMFN57BJVYPPE,1,1,100.00%,1,1,100.00%,0,0,0.00%,Never Blocked,,,1
AMM6E29XWNDBX,https://requester.mturk.com/workers/AMM6E29XWNDBX,1,0,0.00%,1,0,0.00%,0,0,0.00%,Never Blocked,,,1
AOTWQ6X2NP27L,https://requester.mturk.com/workers/AOTWQ6X2NP27L,1,1,100.00%,1,1,100.00%,0,0,0.00%,Never Blocked,,,1
ATEWATSZJIDBW,https://requester.mturk.com/workers/ATEWATSZJIDBW,1,0,0.00%,1,0,0.00%,0,0,0.00%,Never Blocked,,,1
AUCEAYEONG92V,https://requester.mturk.com/workers/AUCEAYEONG92V,1,1,100.00%,1,1,100.00%,0,0,0.00%,Never Blocked,,,1
AUY5E86D8FUSB,https://requester.mturk.com/workers/AUY5E86D8FUSB,1,1,100.00%,1,1,100.00%,0,0,0.00%,Never Blocked,,,1
AWZCVOUD0LPT,https://requester.mturk.com/workers/AWZCVOUD0LPT,1,1,100.00%,1,1,100.00%,0,0,0.00%,Never Blocked,,,1
AZ69TBTDH7AZS,https://requester.mturk.com/workers/AZ69TBTDH7AZS,1,1,100.00%,0,0,0.00%,0,0,0.00%,Never Blocked,,,1
AZBS0MVCBSCGY,https://requester.mturk.com/workers/AZBS0MVCBSCGY,1,1,100.00%,1,1,100.00%,0,0,0.00%,Never Blocked,,,1
